	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	ISO_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
0	Achang-100_thehusband-1	Achang	100_thehusband	nʲ i ³¹ + ŋ a u ⁵⁵	acha1249	acn	1200	HUSBAND	8418-thehusband	
1	Achang-101_ifirstpersonsingular-1	Achang	101_ifirstpersonsingular	ŋ ɔ ⁵⁵	acha1249	acn	1209	I	327-ifirstpersonsingular	
2	Achang-102_theice-1	Achang	102_theice	k ə t ³⁵	acha1249	acn	617	ICE	904-theice	
4	Achang-104_tokill-1	Achang	104_tokill	s a t ⁵⁵	acha1249	acn	1417	KILL	3125-tokill	
6	Achang-109_thelake-1	Achang	109_thelake	n̥ ɔ ŋ ³⁵	acha1249	acn	624	LAKE	1015-thelake	
9	Achang-111_tolaugh-1	Achang	111_tolaugh	ʐ ə ⁵⁵	acha1249	acn	1355	LAUGH	438-tolaugh	
10	Achang-112_theleaf-1	Achang	112_theleaf	a ³¹ + x ʐ o./o ʔ ⁵⁵	acha1249	acn	628	LEAF	881-theleaf	
11	Achang-112_theleaf-2	Achang	112_theleaf	a ³¹ + x ʐ o./o ʔ ⁵⁵	acha1249	acn	628	LEAF	881-theleaf	
12	Achang-114_left-1	Achang	114_left	l ɔ ʔ ³¹ + n a m ³¹ + p a ³¹	acha1249	acn	244	LEFT	422-left	
18	Achang-119_theliver-1	Achang	119_theliver	a ³¹ + ʂ ə ŋ ³¹	acha1249	acn	1224	LIVER	2076-theliver	
19	Achang-11_big-1	Achang	11_big	k ʐ ə ³¹	acha1249	acn	1202	BIG	909-big	
20	Achang-120_long-1	Achang	120_long	s ə ŋ ⁵⁵	acha1249	acn	1203	LONG	547-long	
21	Achang-121_thelouse-1	Achang	121_thelouse	ʂ a n ³¹	acha1249	acn	1392	LOUSE	807-thelouse	
23	Achang-123_themanmalehuman-1	Achang	123_themanmalehuman	i ³¹ + tɕ i ⁵⁵	acha1249	acn	2106	MALE PERSON	1048-themanmalehuman	
24	Achang-124_many-1	Achang	124_many	nʲ ɔ ³¹	acha1249	acn	1198	MANY	1027-many	
29	Achang-12_thebird-1	Achang	12_thebird	m̥ ɔ ʔ ⁵⁵	acha1249	acn	937	BIRD	910-thebird	
31	Achang-131_themother-1	Achang	131_themother	m a u ʔ ⁵¹	acha1249	acn	1216	MOTHER	1272-themother	
32	Achang-132_themountain-1	Achang	132_themountain	p u m ⁵⁵	acha1249	acn	639	MOUNTAIN	1274-themountain	
34	Achang-134_themouth-1	Achang	134_themouth	n̥ʲ o./o t ⁵³	acha1249	acn	674	MOUTH	1276-themouth	
37	Achang-137_thename-1	Achang	137_thename	a ³¹ + nʲ i ŋ ⁵⁵	acha1249	acn	1405	NAME	18-thename	
38	Achang-138_narrow-1	Achang	138_narrow	n̥ʲ a p ⁵⁵	acha1249	acn	1267	NARROW	1279-narrow	
39	Achang-139_near-1	Achang	139_near	n e ³¹	acha1249	acn	1942	NEAR	7-near	
40	Achang-13_tobite-1	Achang	13_tobite	p a n ³¹	acha1249	acn	1403	BITE	2969-tobite	
41	Achang-140_theneck-1	Achang	140_theneck	l a ŋ ³¹ + ts ə ŋ ³¹	acha1249	acn	1333	NECK	122-theneck	
43	Achang-142_new-1	Achang	142_new	ʂ ə k ⁵⁵	acha1249	acn	1231	NEW	997-new	
47	Achang-146_thenose-1	Achang	146_thenose	n̥ʲ ɔ ŋ ⁵⁵	acha1249	acn	1221	NOSE	2090-thenose	
49	Achang-148_one-1	Achang	148_one	t a ³¹	acha1249	acn	1493	ONE	302-one	
51	Achang-14_black-1	Achang	14_black	l ɔ k ⁵⁵	acha1249	acn	163	BLACK	511-black	
55	Achang-153_toplay-1	Achang	153_toplay	ts e ʔ ⁵⁵	acha1249	acn	1413	PLAY	4151-toplay	
56	Achang-154_topull-1	Achang	154_topull	ʂ a ⁵⁵	acha1249	acn	1455	PULL	1297-topull	
57	Achang-155_topush-1	Achang	155_topush	t u n ³¹	acha1249	acn	1452	PUSH	1301-topush	
60	Achang-158_red-1	Achang	158_red	n a ⁵⁵	acha1249	acn	156	RED	1306-red	
62	Achang-15_theblood-1	Achang	15_theblood	s u i ³¹	acha1249	acn	946	BLOOD	29703-theblood	
64	Achang-161_right-1	Achang	161_right	l ɔ ʔ ³¹ + ʑ ɔ ⁵⁵ + p a ³¹	acha1249	acn	1019	RIGHT	10429-right	
65	Achang-162_theriver-1	Achang	162_theriver	ʈʂʰ ă ⁵⁵ + ʐ o./o ŋ ³¹	acha1249	acn	666	RIVER	1316-theriver	
66	Achang-163_theroad-1	Achang	163_theroad	x a ⁵⁵ + m ʐ u a ³¹	acha1249	acn	667	ROAD	1321-theroad	
67	Achang-164_theroot-1	Achang	164_theroot	m ʐ u a t ⁵⁵	acha1249	acn	670	ROOT	1074-theroot	
68	Achang-165_therope-1	Achang	165_therope	t o./o i ³¹	acha1249	acn	1218	ROPE	1324-therope	
70	Achang-168_thesalt-1	Achang	168_thesalt	tɕʰ ɔ ³¹	acha1249	acn	1274	SALT	4160-thesalt	
72	Achang-16_toblowofwind-1	Achang	16_toblowofwind	x ʐ a u ʔ ³⁵	acha1249	acn	175	BLOW (OF WIND)	916-toblowofwind	
73	Achang-170_thesand-1	Achang	170_thesand	s ă ³¹ + l e ⁵⁵	acha1249	acn	671	SAND	212-thesand	
74	Achang-171_toscratch-1	Achang	171_toscratch	kʰ ʐ ə n ⁵⁵	acha1249	acn	1436	SCRATCH	1327-toscratch	
75	Achang-172_thesea-1	Achang	172_thesea	n a m ³¹ + tɕ u ³¹	acha1249	acn	1474	SEA	8650-thesea	
76	Achang-173_tosee-1	Achang	173_tosee	e n ³¹ + m ʐ a ŋ ⁵⁵	acha1249	acn	1409	SEE	1329-tosee	
77	Achang-174_theseed-1	Achang	174_theseed	a ³¹ + nʲ a u ³¹	acha1249	acn	714	SEED	127-theseed	
79	Achang-176_sharp-1	Achang	176_sharp	tʰ ɔ ʔ ⁵⁵	acha1249	acn	1396	SHARP	375-sharp	
