	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
0	Beijing-Liu-2007-201-1-1	Beijing	Liu-2007-201-1	p ɛ ³⁵	beij1234	1335	WHITE	71	
1	Beijing-Liu-2007-201-10-1	Beijing	Liu-2007-201-10	ʈʂʰ ɑ ŋ ³⁵	beij1234	1203	LONG	112	
6	Beijing-Liu-2007-201-103-1	Beijing	Liu-2007-201-103	ʐ u ²¹⁴ + f ɑ ŋ ³⁵	beij1234	1402	BREAST	126	
7	Beijing-Liu-2007-201-103-1	Beijing	Liu-2007-201-103	ʐ u ²¹⁴ + f ɑ ŋ ³⁵	beij1234	1402	BREAST	127	
11	Beijing-Liu-2007-201-106-1	Beijing	Liu-2007-201-106	ʂ a̠ ⁵⁵	beij1234	1417	KILL	135	
12	Beijing-Liu-2007-201-107-1	Beijing	Liu-2007-201-107	ʂ a̠ ⁵⁵	beij1234	671	SAND	138	
13	Beijing-Liu-2007-201-108-1	Beijing	Liu-2007-201-108	ʂ a n ⁵⁵	beij1234	639	MOUNTAIN	139	
14	Beijing-Liu-2007-201-109-1	Beijing	Liu-2007-201-109	ʂ ɑu ⁵⁵	beij1234	2102	BURN	140	
18	Beijing-Liu-2007-201-111-1	Beijing	Liu-2007-201-111	ʂ ɤ ³⁵	beij1234	1205	TONGUE	143	
21	Beijing-Liu-2007-201-114-1	Beijing	Liu-2007-201-114	ʂ ʅ ⁵⁵	beij1234	1392	LOUSE	155	
23	Beijing-Liu-2007-201-116-1	Beijing	Liu-2007-201-116	ʂ ə n ³⁵ + m ə ⁰	beij1234	1236	WHAT	166	
24	Beijing-Liu-2007-201-116-1	Beijing	Liu-2007-201-116	ʂ ə n ³⁵ + m ə ⁰	beij1234	1236	WHAT	167	
25	Beijing-Liu-2007-201-117-1	Beijing	Liu-2007-201-117	ʂ ʅ ³⁵ + tʰ ou ⁰	beij1234	857	STONE	180	
26	Beijing-Liu-2007-201-117-1	Beijing	Liu-2007-201-117	ʂ ʅ ³⁵ + tʰ ou ⁰	beij1234	857	STONE	319	
27	Beijing-Liu-2007-201-118-1	Beijing	Liu-2007-201-118	ʂ ou ²¹³	beij1234	1277	HAND	182	
28	Beijing-Liu-2007-201-119-1	Beijing	Liu-2007-201-119	ʂ u ⁵¹	beij1234	906	TREE	134	
30	Beijing-Liu-2007-201-120-1	Beijing	Liu-2007-201-120	ʂ u ⁵¹ + pʰ i ³⁵	beij1234	1204	BARK	134	
31	Beijing-Liu-2007-201-120-1	Beijing	Liu-2007-201-120	ʂ u ⁵¹ + pʰ i ³⁵	beij1234	1204	BARK	16	
34	Beijing-Liu-2007-201-122-1	Beijing	Liu-2007-201-122	ʂ əi ³⁵	beij1234	1235	WHO	187	
35	Beijing-Liu-2007-201-123-1	Beijing	Liu-2007-201-123	ʂ w ei ²¹³	beij1234	948	WATER	194	
38	Beijing-Liu-2007-201-125-1	Beijing	Liu-2007-201-125	ʂ w ei ⁵¹	beij1234	1585	SLEEP	196	
40	Beijing-Liu-2007-201-127-1	Beijing	Liu-2007-201-127	ʂ w o ⁵⁵	beij1234	1458	SAY	206	
43	Beijing-Liu-2007-201-129-1	Beijing	Liu-2007-201-129	s ɿ ²¹³	beij1234	1494	DIE	222	
50	Beijing-Liu-2007-201-133-1	Beijing	Liu-2007-201-133	tʰ ai ⁵¹ + j ɑ ŋ ³⁵	beij1234	1343	SUN	239	
51	Beijing-Liu-2007-201-133-1	Beijing	Liu-2007-201-133	tʰ ai ⁵¹ + j ɑ ŋ ³⁵	beij1234	1343	SUN	240	
52	Beijing-Liu-2007-201-134-1	Beijing	Liu-2007-201-134	tʰ ɑ ŋ ²¹³	beij1234	1411	LIE (REST)	244	
56	Beijing-Liu-2007-201-137-1	Beijing	Liu-2007-201-137	tʰ i ŋ ⁵⁵ + tɕ j ɛ n ⁵¹	beij1234	1408	HEAR	252	
57	Beijing-Liu-2007-201-137-1	Beijing	Liu-2007-201-137	tʰ i ŋ ⁵⁵ + tɕ j ɛ n ⁵¹	beij1234	1408	HEAR	253	
58	Beijing-Liu-2007-201-138-1	Beijing	Liu-2007-201-138	tʰ ou ³⁵	beij1234	1256	HEAD	79	
61	Beijing-Liu-2007-201-14-1	Beijing	Liu-2007-201-14	ʈʂʰ ʅ ⁵⁵	beij1234	1336	EAT	547	
62	Beijing-Liu-2007-201-140-1	Beijing	Liu-2007-201-140	tʰ u ²¹³ + t i ⁵¹	beij1234	1228	EARTH (SOIL)	264	
63	Beijing-Liu-2007-201-140-1	Beijing	Liu-2007-201-140	tʰ u ²¹³ + t i ⁵¹	beij1234	1228	EARTH (SOIL)	265	
69	Beijing-Liu-2007-201-146-1	Beijing	Liu-2007-201-146	w a n ²¹³ + ʂ ɑ ŋ ⁵¹	beij1234	1233	NIGHT	295	
70	Beijing-Liu-2007-201-146-1	Beijing	Liu-2007-201-146	w a n ²¹³ + ʂ ɑ ŋ ⁵¹	beij1234	1233	NIGHT	249	
71	Beijing-Liu-2007-201-147-1	Beijing	Liu-2007-201-147	w ei ²¹³	beij1234	1220	TAIL	308	
73	Beijing-Liu-2007-201-149-1	Beijing	Liu-2007-201-149	w o ²¹³	beij1234	1209	I	313	
76	Beijing-Liu-2007-201-150-1	Beijing	Liu-2007-201-150	w o ²¹³ + m ə n ³⁵	beij1234	1212	WE	313	
77	Beijing-Liu-2007-201-150-1	Beijing	Liu-2007-201-150	w o ²¹³ + m ə n ³⁵	beij1234	1212	WE	195	
80	Beijing-Liu-2007-201-153-1	Beijing	Liu-2007-201-153	tɕʰ i ⁵⁵	beij1234	1371	KNEE	333	
