	dataset	num_languages	num_concepts	max_num_cognate_classes	num_families	polymorphic_cell_ratio	polymorphic_concept_ratio	cognate_ratio	bin_entropy	columns_per_concept	cognate_class_counts	concepts_per_language	average_mutual_coverage
0	robinsonap	13	324	12	1	0.003	0.015	0.632	2251.621	7.318	[0, 7, 12, 16, 19, 30, 41, 31, 43, 45, 37, 32, 11]	293.538	0.824
1	peirosaustroasiatic	68	100	39	1	0.009	0.26	0.29	2298.55	19.0	[0, 0, 0, 0, 1, 4, 3, 4, 2, 2, 2, 7, 2, 4, 0, 4, 4, 5, 4, 5, 4, 4, 6, 0, 9, 3, 2, 0, 2, 4, 1, 3, 2, 2, 1, 0, 1, 2, 0, 1]	96.221	0.928
2	abvdoceanic	410	210	92	1	0.14	1.0	0.155	10938.335	47.914	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 1, 1, 1, 0, 1, 3, 3, 0, 1, 2, 4, 7, 0, 3, 4, 4, 1, 2, 1, 4, 5, 4, 3, 3, 3, 9, 4, 6, 3, 7, 1, 4, 7, 5, 6, 4, 7, 4, 2, 2, 5, 3, 2, 2, 6, 2, 4, 2, 3, 5, 7, 3, 3, 2, 4, 1, 1, 1, 0, 2, 2, 3, 2, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1]	142.693	0.497
3	nagarajakhasian	6	200	6	1	0.0	0.0	0.585	902.395	3.305	[0, 17, 38, 58, 51, 26, 10]	190.167	0.913
4	mixtecansubgrouping	84	240	20	2	0.076	0.658	0.15	8283.778	4.842	[0, 32, 39, 43, 27, 24, 15, 8, 15, 12, 7, 3, 3, 3, 3, 2, 1, 1, 1, 0, 1]	144.393	0.491
5	syrjaenenuralic	7	173	12	1	0.154	0.566	0.613	872.431	5.029	[0, 8, 15, 24, 22, 35, 31, 17, 8, 5, 6, 1, 1]	170.286	0.969
6	bowernpny	175	344	166	1	0.003	0.006	0.711	4228.426	83.128	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 2, 1, 1, 1, 3, 4, 2, 1, 1, 3, 1, 0, 2, 1, 3, 1, 0, 2, 2, 1, 2, 1, 2, 4, 3, 5, 2, 3, 7, 1, 8, 2, 2, 2, 7, 3, 2, 4, 5, 5, 5, 3, 3, 10, 5, 11, 14, 4, 9, 3, 5, 4, 6, 7, 5, 2, 4, 3, 7, 6, 8, 6, 5, 4, 3, 5, 2, 1, 4, 0, 5, 2, 3, 2, 3, 3, 2, 4, 3, 4, 2, 3, 4, 1, 1, 1, 1, 0, 2, 1, 2, 1, 3, 1, 2, 0, 0, 1, 1, 2, 1, 2, 0, 2, 1, 3, 0, 0, 0, 2, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1]	241.549	0.531
7	gerarditupi	35	243	11	1	0.0	0.0	0.151	5024.599	4.119	[0, 22, 45, 42, 40, 36, 27, 10, 8, 6, 4, 3]	200.257	0.693
8	starostintujia	5	109	3	1	0.004	0.009	0.369	259.689	1.642	[0, 53, 42, 14]	102.2	0.895
9	chaconcolumbian	69	128	38	14	0.063	0.844	0.307	2458.746	20.312	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 3, 2, 4, 9, 8, 9, 7, 10, 6, 11, 7, 8, 6, 3, 5, 6, 3, 4, 1, 4, 0, 2, 0, 4, 1, 0, 0, 1]	114.188	0.804
10	wichmannmixezoquean	10	110	8	1	0.002	0.018	0.321	738.704	3.082	[0, 21, 32, 19, 15, 9, 9, 2, 3]	106.7	0.943
11	sagartst	50	250	42	1	0.039	0.732	0.433	3751.25	20.48	[0, 3, 1, 1, 3, 3, 7, 1, 7, 3, 8, 8, 9, 11, 7, 6, 7, 11, 12, 5, 15, 11, 8, 7, 11, 8, 9, 7, 6, 7, 8, 7, 6, 6, 6, 4, 5, 0, 2, 0, 2, 1, 1]	229.18	0.852
12	chaconarawakan	8	102	7	1	0.06	0.333	0.426	443.464	2.804	[0, 20, 29, 23, 18, 6, 5, 1]	76.25	0.546
13	felekesemitic	19	150	9	1	0.0	0.0	0.204	1987.197	3.847	[0, 19, 23, 34, 22, 21, 16, 4, 6, 5]	148.421	0.979
14	birchallchapacuran	10	125	7	1	0.05	0.264	0.29	506.304	2.28	[0, 49, 29, 24, 11, 11, 0, 1]	97.0	0.625
15	dravlex	20	100	19	1	0.087	0.69	0.379	1098.662	7.78	[0, 4, 4, 8, 2, 11, 11, 13, 7, 8, 8, 7, 6, 4, 2, 2, 0, 0, 2, 1]	92.65	0.859
16	liusinitic	19	202	28	1	0.373	0.743	0.19	2384.133	5.886	[0, 39, 23, 19, 21, 24, 8, 18, 10, 6, 3, 7, 4, 0, 2, 2, 3, 4, 1, 0, 1, 2, 1, 0, 1, 1, 0, 1, 1]	201.947	0.999
17	leekoreanic	14	246	7	1	0.011	0.041	0.234	815.68	1.504	[0, 164, 57, 16, 4, 3, 1, 1]	152.857	0.468
18	sidwellbahnaric	24	200	21	2	0.044	0.435	0.238	2587.266	5.275	[0, 32, 29, 24, 16, 22, 16, 14, 8, 8, 7, 6, 8, 2, 3, 0, 1, 2, 1, 0, 0, 1]	179.125	0.816
19	starostinpie	19	110	14	1	0.053	0.382	0.288	1368.09	5.764	[0, 6, 13, 9, 8, 15, 15, 17, 8, 8, 6, 0, 3, 1, 1]	108.316	0.97
20	kahd	12	557	8	3	0.042	0.259	0.548	1175.683	1.932	[0, 299, 120, 69, 38, 15, 12, 1, 3]	191.083	0.142
21	dunnielex	20	207	20	1	0.073	0.686	0.402	2182.274	8.589	[0, 10, 9, 7, 14, 12, 10, 21, 19, 20, 18, 11, 18, 10, 11, 7, 6, 2, 1, 0, 1]	200.4	0.942
22	crossandean	38	150	14	3	0.033	0.473	0.144	4049.498	5.393	[0, 0, 1, 29, 42, 21, 20, 7, 13, 7, 5, 2, 1, 1, 1]	144.395	0.929
23	gaotb	45	100	31	2	0.0	0.0	0.237	2223.024	10.62	[0, 0, 1, 2, 2, 7, 9, 10, 6, 9, 6, 12, 6, 6, 2, 7, 3, 4, 2, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	99.444	0.99
24	oskolskayatungusic	21	254	17	1	0.086	0.65	0.2	3352.41	4.374	[0, 36, 55, 32, 31, 22, 24, 16, 12, 8, 5, 5, 3, 3, 1, 0, 0, 1]	236.476	0.872
25	lionnetyotonahua	15	364	2	1	0.01	0.055	0.166	135.0	1.055	[0, 344, 20]	174.133	0.233
26	hattorijaponic	10	200	8	2	0.0	0.0	0.232	1070.4	2.3	[0, 80, 48, 38, 15, 10, 4, 4, 1]	198.4	0.985
27	tuled	69	447	38	1	0.128	0.96	0.275	9489.402	14.477	[0, 0, 3, 5, 4, 8, 18, 21, 22, 24, 29, 27, 30, 31, 28, 29, 19, 21, 20, 16, 18, 9, 14, 9, 8, 9, 3, 0, 5, 4, 2, 3, 1, 3, 1, 0, 0, 2, 1]	299.333	0.478
28	dunnaslian	32	146	13	2	0.001	0.034	0.264	2463.352	6.712	[0, 2, 5, 17, 11, 13, 21, 21, 14, 17, 14, 4, 5, 2]	122.688	0.734
29	chaconbaniwa	14	243	7	1	0.0	0.004	0.349	1808.905	2.786	[0, 48, 65, 65, 33, 21, 10, 1]	167.857	0.541
30	deepadungpalaung	5	100	5	1	0.002	0.01	0.319	215.933	1.57	[0, 55, 35, 9, 0, 1]	98.4	0.968
31	iecor	160	170	81	1	0.011	0.729	0.195	6551.903	29.3	[0, 2, 1, 0, 1, 1, 3, 1, 4, 1, 1, 1, 1, 4, 5, 1, 3, 6, 5, 2, 5, 3, 6, 2, 4, 5, 8, 8, 6, 2, 0, 5, 4, 11, 1, 4, 5, 1, 1, 4, 7, 9, 2, 2, 3, 0, 3, 1, 3, 2, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]	158.938	0.875
32	savelyevturkic	31	254	13	2	0.087	0.516	0.109	4748.132	3.543	[0, 56, 46, 50, 37, 18, 14, 11, 11, 3, 3, 3, 1, 1]	237.903	0.883
33	galuciotupi	23	100	18	1	0.007	0.15	0.338	1287.15	7.12	[0, 5, 8, 12, 4, 10, 9, 11, 5, 7, 8, 5, 5, 5, 3, 0, 0, 1, 2]	92.913	0.873
34	constenlachibchan	25	110	22	3	0.001	0.018	0.535	1134.331	12.773	[0, 0, 1, 1, 3, 1, 8, 2, 4, 5, 8, 5, 11, 11, 7, 9, 8, 11, 6, 4, 4, 0, 1]	105.12	0.912
35	utoaztecan	41	121	24	4	0.015	0.322	0.293	2248.533	11.322	[0, 0, 1, 5, 2, 5, 8, 7, 11, 8, 12, 10, 9, 7, 5, 5, 7, 2, 4, 3, 4, 3, 0, 1, 2]	113.024	0.875
36	houchinese	15	140	32	2	0.276	0.836	0.351	1246.883	7.321	[0, 15, 13, 7, 6, 10, 16, 16, 9, 7, 9, 11, 4, 3, 0, 3, 2, 5, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	135.867	0.948
37	yanglalo	7	1000	5	1	0.098	0.146	0.167	600.381	1.214	[0, 818, 155, 23, 3, 1]	959.0	0.927
38	lieberherrkhobwa	22	100	8	1	0.0	0.0	0.148	1457.104	3.1	[0, 20, 18, 26, 21, 5, 4, 5, 1]	96.818	0.942
39	sidwellvietic	33	116	13	1	0.0	0.0	0.21	2255.211	5.638	[0, 1, 6, 14, 20, 16, 20, 17, 9, 6, 5, 1, 0, 1]	97.515	0.718
40	saenkoromance	43	110	36	2	0.029	0.273	0.096	2627.817	4.245	[0, 31, 18, 16, 12, 12, 5, 5, 3, 0, 1, 2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]	109.721	0.995
41	mcelhanonhuon	14	140	13	1	0.0	0.0	0.484	1237.858	6.779	[0, 1, 7, 9, 12, 20, 7, 28, 25, 7, 12, 7, 4, 1]	140.0	1.0
42	walworthpolynesian	31	210	24	1	0.151	0.862	0.195	3983.239	6.933	[0, 13, 20, 25, 19, 18, 13, 15, 22, 19, 5, 6, 5, 8, 8, 7, 1, 2, 1, 0, 1, 0, 0, 1, 1]	199.548	0.909
43	zhivlovobugrian	20	110	6	1	0.01	0.018	0.129	1035.111	2.2	[0, 44, 32, 14, 12, 4, 4]	96.85	0.789
44	davletshinaztecan	9	100	8	1	0.002	0.01	0.249	444.962	2.01	[0, 43, 31, 17, 5, 1, 2, 0, 1]	94.667	0.901
45	chaconnorthwestarawakan	26	94	13	1	0.047	0.638	0.259	1448.836	6.181	[0, 1, 5, 11, 18, 9, 8, 13, 11, 5, 3, 5, 2, 3]	81.962	0.778
